Date,Lilas,Rosa,Upsie,Dore,Bleu_ciel,Bleu_fonce,Ultime
12/07/2023,183,178,183,165,147,162,169
13/07/2023,192,174,189,164,146,162,188
14/07/2023,207,179,208,177,163,191,200
15/07/2023,222,195,222,198,181,216,222
16/07/2023,251,211,239,210,190,238,241
17/07/2023,280,227,261,233,219,263,264
18/07/2023,286,253,289,264,233,282,278
19/07/2023,306,277,306,268,249,295,306
20/07/2023,343,284,311,280,285,330,327
21/07/2023,368,313,340,317,308,346,354
22/07/2023,413,337,378,360,337,385,404
23/07/2023,442,370,387,386,366,422,399
24/07/2023,455,385,396,398,380,455,433
25/07/2023,485,396,428,413,403,475,455
26/07/2023,501,412,450,460,412,490,479
27/07/2023,527,428,466,459,444,510,504
28/07/2023,563,455,525,475,461,546,553
29/07/2023,592,498,543,524,509,582,585
30/07/2023,612,512,571,509,505,601,590
31/07/2023,640,550,575,540,540,625,618
01/08/2023,684,555,610,572,547,655,632
03/08/2023,773,660,675,648,651,716,712
05/08/2023,788,668,710,646,677,764,749
07/08/2023,846,770,756,710,730,830,810
09/08/2023,967,805,818,795,797,909,835
12/08/2023,1057,922,930,901,886,1002,920
14/08/2023,1090,975,960,943,930,1062,963
16/08/2023,1130,1015,987,940,970,1110,997
